1;arms_factory;2949.00;10.70;1371.00;1.08;0
1;arms_factory;2949.00;10.70;1371.00;3.74;0
1;arms_factory;2944.00;10.85;1370.00;0.13;0
1;arms_factory;2952.00;10.40;1362.00;1.68;0
1;arms_factory;2951.00;11.38;1363.00;5.81;0
1;arms_factory;2947.00;13.00;1365.00;0.74;0
1;industrial_complex;2947.00;13.00;1365.00;3.75;0
1;industrial_complex;2949.00;10.93;1357.00;0.13;0
1;industrial_complex;2953.00;10.03;1371.00;2.80;0
1;industrial_complex;2953.00;10.03;1371.00;0.63;0
1;industrial_complex;2946.00;12.55;1369.00;2.19;0
1;industrial_complex;2945.00;10.53;1371.00;4.86;0
1;air_base;2953.00;10.15;1364.00;1.24;0
1;naval_base;2944.00;10.25;1371.00;-2.60;5555
1;naval_base;2952.00;9.73;1356.00;-0.79;5579
1;naval_base;2954.00;9.93;1368.00;0.98;5579
1;bunker;2947.00;10.07;1358.00;5.97;0
1;bunker;2949.00;12.57;1362.00;3.81;0
1;bunker;2954.00;10.07;1366.00;3.91;0
1;coastal_bunker;2945.00;9.88;1372.00;-2.60;0
1;coastal_bunker;2953.00;9.50;1377.00;-3.00;0
1;coastal_bunker;2952.00;10.13;1359.00;-0.79;0
1;dockyard;2945.00;9.88;1372.00;-2.60;0
1;anti_air_building;2948.00;13.68;1366.00;0.20;0
1;anti_air_building;2951.00;11.00;1358.00;2.87;0
1;anti_air_building;2953.00;10.03;1371.00;4.42;0
1;synthetic_refinery;2949.00;9.73;1373.00;2.26;0
1;fuel_silo;2946.00;10.73;1371.00;3.47;0
1;radar_station;2940.00;9.50;1360.00;6.26;0
1;rocket_site;2953.00;10.60;1366.00;2.87;0
1;nuclear_reactor;2944.00;10.98;1366.00;5.54;0
2;arms_factory;3009.00;10.30;1355.00;0.13;0
2;arms_factory;3014.00;11.15;1356.00;1.68;0
2;arms_factory;3003.00;10.03;1365.00;5.81;0
2;arms_factory;3015.00;10.73;1353.00;0.74;0
2;arms_factory;3000.00;9.88;1363.00;3.75;0
2;arms_factory;3003.00;10.00;1364.00;0.13;0
2;industrial_complex;3006.00;9.70;1353.00;2.80;0
2;industrial_complex;2991.00;9.50;1363.00;0.63;0
2;industrial_complex;2994.00;9.70;1364.00;2.19;0
2;industrial_complex;3001.00;9.68;1359.00;4.86;0
2;industrial_complex;2994.00;9.57;1362.00;1.24;0
2;industrial_complex;3004.00;10.98;1373.00;5.37;0
2;air_base;3007.00;10.88;1365.00;5.47;0
2;naval_base;2994.00;9.50;1360.00;-0.93;5656
2;naval_base;3002.00;9.50;1353.00;-0.59;5656
2;naval_base;3020.00;9.50;1347.00;0.17;1452
2;naval_base;2986.00;9.50;1368.00;-0.90;5579
2;naval_base;3008.00;9.50;1349.00;-0.90;5656
2;bunker;3007.00;10.63;1361.00;5.87;0
2;bunker;2998.00;10.28;1366.00;5.98;0
2;bunker;3010.00;10.50;1355.00;3.81;0
2;bunker;2994.00;10.40;1370.00;0.20;0
2;bunker;3017.00;11.28;1356.00;2.87;0
2;bunker;2999.00;10.93;1374.00;4.42;0
2;coastal_bunker;3005.00;9.50;1351.00;-0.59;0
2;coastal_bunker;3013.00;9.50;1348.00;0.32;0
2;coastal_bunker;2996.00;9.50;1358.00;-0.93;0
2;coastal_bunker;3022.00;9.50;1347.00;0.17;0
2;coastal_bunker;2989.00;9.50;1364.00;-0.90;0
2;dockyard;3022.00;9.50;1347.00;0.17;0
2;anti_air_building;2989.00;9.78;1370.00;6.04;0
2;anti_air_building;3009.00;10.68;1357.00;1.31;0
2;anti_air_building;3019.00;10.07;1350.00;3.98;0
2;synthetic_refinery;2989.00;9.70;1369.00;1.82;0
2;fuel_silo;3015.00;10.98;1355.00;4.49;0
2;radar_station;2986.00;9.50;1367.00;0.21;0
2;rocket_site;3008.00;9.70;1353.00;2.43;0
2;nuclear_reactor;3013.00;10.80;1354.00;0.26;0
3;arms_factory;2924.00;14.48;1454.00;5.81;0
3;arms_factory;2933.00;15.35;1447.00;0.74;0
3;arms_factory;2930.00;13.93;1454.00;3.75;0
3;arms_factory;2926.00;10.85;1461.00;0.13;0
3;arms_factory;2929.00;15.78;1440.00;2.80;0
3;arms_factory;2928.00;10.82;1462.00;0.63;0
3;industrial_complex;2930.00;13.70;1456.00;2.19;0
3;industrial_complex;2928.00;10.60;1463.00;4.86;0
3;industrial_complex;2931.00;13.78;1457.00;1.24;0
3;industrial_complex;2926.00;14.85;1450.00;5.37;0
3;industrial_complex;2931.00;13.80;1458.00;5.47;0
3;industrial_complex;2932.00;15.38;1447.00;3.30;0
3;air_base;2929.00;13.73;1454.00;5.97;0
3;bunker;2931.00;15.57;1448.00;3.81;0
3;bunker;2930.00;13.45;1459.00;3.91;0
3;bunker;2930.00;14.38;1453.00;1.75;0
3;bunker;2929.00;16.23;1441.00;5.87;0
3;bunker;2926.00;10.70;1464.00;5.98;0
3;bunker;2928.00;14.03;1453.00;3.81;0
3;anti_air_building;2928.00;10.60;1464.00;0.20;0
3;anti_air_building;2930.00;13.60;1458.00;2.87;0
3;anti_air_building;2930.00;15.20;1447.00;4.42;0
3;synthetic_refinery;2936.00;13.88;1458.00;2.26;0
3;fuel_silo;2930.00;15.45;1448.00;3.47;0
3;radar_station;2916.00;11.85;1452.00;6.26;0
3;rocket_site;2936.00;15.13;1448.00;2.87;0
3;nuclear_reactor;2926.00;16.20;1441.00;5.54;0
4;arms_factory;3051.00;14.50;1477.00;3.75;0
4;arms_factory;3048.00;14.00;1473.00;0.13;0
4;arms_factory;3063.00;10.43;1477.00;2.80;0
4;arms_factory;3045.00;13.60;1474.00;0.63;0
4;arms_factory;3049.00;11.05;1485.00;2.19;0
